Neiborhood,Address,City,State,Zip Code,Number of fridges,Supported By,Website Sponsor,Fruits,Veggies,Dairy,Pantry Items,Hot Dogs,Bread,water,juices,expired items,Unlabeled,nonfood,leftovers,improper packaged,candys ,condiments,peanut butter,salty snacks,sugary snacks,baked goods,raw meat,cooked meat,opened food,homemade meals,prepared meals,Cooked Seafood,Seafood,Clothing,Alcohol,Donation Food Process,goFund.me,Venmo,Cash App,PayPal,Target registry,Amazon Wishlist,Gift Cards,Instagram,Facebook,Twitter
Kensington, 2400 Coral St.,Philadelphia,PA,19125,1,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
Kensington, 3231 N. 2nd St.,Philadelphia,PA,19140,2,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
Fishtown, 1255 E. Palmer St.,Philadelphia,PA,19125,1,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
Fishtown, 2401 E. Letterly St.,Philadelphia,PA,19125,1,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
Hunting Park, 1717 W. Hunting Park Ave.,Philadelphia,PA,19140,2,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
West Philly, 5524 Haverford Ave.,Philadelphia,PA,19139,1,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
Spruce Hill, 4600 Woodland Ave.,Philadelphia,PA,19143,1,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
Brewerytown, 3033 W. Glenwood Ave.,Philadelphia,PA,19121,1,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
Callowhill, 915 Spring Garden St.,Philadelphia,PA,19123,1,Mama-Tee Fridge,https://www.mamateefridge.com/,accept,accept,accept,accept,accept,accept,accept,accept,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
Germantown, 234 Winona St.,Philadelphia,PA,19144,1,Mama-Tee Fridge,https://www.mamateefridge.com/,accepted,accepted,accepted,accepted,accepted,accepted,accepted,accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,No accepted,Drop off food items at any Mama-Tee location.,https://gofund.me/86c2b94e,,,,,,, @mamateefridge,,
